Designator,Footprint,Quantity,Value,LCSC Part #
"R36, R48",R_Array_4x0201_Panasonic_EXB18V,2,R_4x2k2_0201_array,C5700382
"S1, S2, S3, S4, S5",SW_KMR211NGLFS_SMD,5,SW_KMR211NGLFS_SMD,C221676
"SP7, SP8",Spacer_Drill3.7mm_H2.5mm_9774025151R,2,Spacer_Drill3.7mm_H2.5mm_9774025151R,9774025151R
SW1,PCM12SMTR,1,SW_SPDT_PCM12SMTR,C221841
"U1, U40",MLP44-24L_4x4x0.75mm,2,SIC431AED-T1-GE3,C2071422
U10,WQFN-40_1EP_6x3mm_Pitch0.4mm_EP4.7x2.7mm,1,TUSB1046-DCIRNQ,C2652434
"U11, U13, U14, U15, U16, U19, U20, U21, U30, U44, U45, U46",USON-10_2.5x1mm_P0.5mm,12,TPD4E05U06QDQARQ1,C81353
"U12, U18, U24, U25, U27, U28, U9",TSOT23-6,7,AP22615A_TSOT26,C2680357
U17,WQFN-30-1EP_4.6x2.6mm_P0.4mm,1,HD3SS3220RNH,C2155924
U26,VQFN-24-1EP_3.8x3.8x1.0mm_P0.5mm,1,PI4MSD5V9548AZDEX,C2674581
"U29, U48",VQFN-HR-10_2x2mm,2,LM73100,C3210761
"U31, U32, U33, U4, U43, U47",XSON-8_1x1.95mm_P0.5mm,6,NTS0102_XSON,C2687851
U34,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,1,PCAL6408A_VQFN,C2652332
U35,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,AP22653_DFN,C3001604
U36,WQFN-42-1EP_3.5x9mm_P0.5mm,1,TS3DV642RUARQ1,C3226205
U37,SOT-23-6,1,74LVC2G14_SOT457,C426708
U38,SOT-23-6,1,74LVC1G175_SOT457,C548290
"U41, U8",WSON-6-1EP_2x2mm_P0.65mm,2,NCP730BMT330_WSON,C892821
U42,SOT-23-5,1,TPS7A0518P_SOT23-5,C3752282
U5,QFN-16-1EP_4x4mm_P0.65mm,1,FT230X_QFN,FT230XQ-R
U6,IC_TPS65987DDHRSHR,1,TPS65988DHRSHR,C2156209
U7,USON-8_2x3mm_P0.5mm,1,W25Q80DV_USON,C401667
Y1,Oscillator_SMD_ECS_2520MV_2.5x2mm,1,Oscillator_32.768kHz_ECS_2520MV,C5375606
