Designator,Mid X,Mid Y,Rotation,Layer
D25,78.65,56.95,0.0,bottom
D26,104.95,1.55,270.0,top
D27,103.05,1.55,270.0,top
D28,23.975,11.35,180.0,top
D29,23.65,51.95,90.0,bottom
D3,14.45,1.8,0.0,bottom
D30,40.05,47.75,270.0,bottom
D31,33.83,44.61,0.0,bottom
D32,31.175,37.35,0.0,top
D33,39.15,40.825,90.0,top
D34,25.5,48.0,90.0,bottom
D35,39.1,31.04,0.0,bottom
D36,29.2,51.4,180.0,bottom
D37,26.85,49.95,180.0,bottom
D38,57.95,9.25,180.0,top
D39,117.7,41.85,90.0,top
D4,49.35,23.3,90.0,bottom
D40,117.7,40.55,270.0,top
D41,108.05,42.68,90.0,top
D42,108.05,41.3,270.0,top
D43,105.35,40.28,90.0,top
D44,105.35,38.909,270.0,top
D45,117.7,44.45,90.0,top
D46,117.7,43.15,270.0,top
D47,108.05,45.95,90.0,top
D48,108.05,44.6,270.0,top
D49,117.7,39.25,90.0,top
D5,47.5,23.3,90.0,bottom
D50,117.7,37.95,270.0,top
D51,99.35,26.8,270.0,top
D52,100.8,26.8,270.0,top
D53,29.55,5.35,90.0,top
D54,106.95,2.75,90.0,bottom
D55,71.75,4.95,180.0,bottom
D56,100.44,5.41,90.0,top
D57,101.65,5.41,90.0,top
D58,90.5,1.65,180.0,bottom
D59,96.5,1.6,180.0,bottom
D6,26.75,9.08,180.0,bottom
D60,37.85,2.8,90.0,top
D61,57.55,1.7,90.0,top
D63,53.96,6.35,0.0,top
D7,44.75,16.3,180.0,bottom
D8,30.8,1.55,90.0,bottom
D9,39.05,1.6,90.0,top
FB1,26.725,41.3,0.0,top
FB2,24.75,35.0625,90.0,bottom
FB3,18.05,35.1125,90.0,bottom
FB4,56.5,10.8,0.0,top
H1,31.175,10.65,0.0,top
H2,94.775,10.6375,0.0,top
H3,115.0,5.0,0.0,bottom
H4,10.0,5.0,0.0,bottom
H5,115.0,56.5,0.0,bottom
H6,7.5,52.5,0.0,bottom
J1,90.98,33.63,270.0,top
J10,22.18,18.8,270.0,top
J11,114.0,30.0,270.0,top
J12,23.865,4.5395,0.0,top
J13,64.19,3.44,0.0,top
J14,101.9,3.099,0.0,bottom
J15,62.956,44.7275,0.0,top
J2,90.841,41.999,90.0,bottom
J3,23.84,4.01,0.0,bottom
J4,45.0,5.0,0.0,top
J5,83.65008,4.915,0.0,top
J6,9.40055,11.069103,0.0,top
J7,115.54,34.02,270.0,bottom
J8,58.99,57.31,180.0,bottom
L1,43.495,32.78,180.0,top
L4,27.125,29.265,180.0,top
Q1,71.55,39.0,90.0,top
Q10,102.35,7.41,180.0,top
Q11,35.46,54.9,90.0,bottom
Q13,28.35,19.55,180.0,top
Q14,13.95,54.075,0.0,bottom
Q15,28.45,16.15,90.0,top
Q16,13.05,50.775,180.0,bottom
Q17,12.359,23.565,90.0,top
Q18,19.875,48.65,0.0,bottom
Q19,78.95,20.15,0.0,bottom
Q2,57.75,28.55,270.0,top
Q20,18.075,12.0,180.0,bottom
Q21,18.75,9.7,270.0,bottom
Q4,75.65,9.9,90.0,top
Q5,29.61,39.85,180.0,bottom
Q6,29.135627,36.7,90.0,bottom
Q7,31.25,55.65,90.0,bottom
Q8,41.65,57.55,180.0,bottom
Q9,106.55,7.41,180.0,top
R1,60.25,16.15,90.0,bottom
R10,61.25,47.35,180.0,bottom
R100,118.1,29.35,270.0,top
R101,118.1,25.63,270.0,top
R102,118.1,22.61,270.0,top
R104,37.75,9.75,90.0,top
R105,30.8,3.95,270.0,bottom
R106,39.1,3.95,90.0,top
R107,89.78,54.4,270.0,bottom
R108,82.47,54.12,90.0,bottom
R109,45.48,12.75,90.0,bottom
R11,106.05,29.35,180.0,bottom
R110,45.0,7.65,180.0,bottom
R111,22.8,18.6,0.0,bottom
R116,75.4,24.65,180.0,top
R117,23.15,11.95,270.0,bottom
R118,78.425,18.125,90.0,top
R119,77.55,26.1,270.0,top
R12,106.05,30.35,180.0,bottom
R123,17.15,41.1125,180.0,bottom
R126,77.45,18.125,270.0,top
R127,24.15,11.95,270.0,bottom
R128,73.5,15.25,270.0,bottom
